"","post_id","type","timestamp","caption","hashtags","n_hashtags","is_video","video_views","n_likes","n_comments","n_uniq_commenters"
"158","ig158","GraphImage",2020-07-24 18:54:22,"Sampurasun, Sobat JDS! Penyebaran COVID-19 lewat udara (airborne) ternyata bisa efektif dicegah dengan penggunaan masker di tempat-tempat umum. Hal ini dikarenakan masker dapat menampung partikel virus yang keluar dari mulut ataupun hidung ketika seseorang berbicara, batuk, dan bersin, sehingga virus yang keluar tidak akan bertransmisi ke orang lain.Simak bagaimana virus dapat menyebar antar manusia dengan melihat ilustrasi di atas! Yuk, tetap gunakan masker untuk cegah potensi penularan COVID-19 di manapun kita berada!#jabartanggapcovid #masker","masker, jabartanggapcovid",2,FALSE,NA,476,17,13
"159","ig159","GraphImage",2020-07-24 12:00:38,"Wargi Jabar, ayo gunakan kesempatan ini untuk ajak RW-mu agar segera melakukan verval data penerima bansos melalui Sapawarga. Kontribusimu berharga untuk penyelenggaraan bansos lebih baik!#JaringPengamanSosial #KitaPastiMenang #BansosProvinsi #JabarLawanCOVID19 #Sapawarga","BansosProvinsi, JabarLawanCOVID19, KitaPastiMenang, JaringPengamanSosial, Sapawarga",5,FALSE,NA,93,14,8
"160","ig160","GraphSidecar",2020-07-22 20:00:05,"Sampurasun, Sobat JDS!<U+2063><U+2063><U+2063><U+2063>Eksplorasi manusia dan munculnya berbagai inovasi telah menyebabkan evolusi perdagangan dari masa ke masa. Pada 5.000 tahun sebelum masehi, sapi (cattle) serta hewan ternak lainnya digunakan sebagai alat pembayaran yang memiliki nilai dalam kegiatan jual beli barang. Penemuan logam mulia turut membuat perubahan signifikan bagi mata uang dan perdagangan dunia. <U+2063><U+2063><U+2063><U+2063>Tak perlu repot, kini, kita bisa melakukan jual beli dengan lebih mudah dan cepat dengan bantuan teknologi melalui berbagai platform dagang online (e-commerce). Bahkan, Usaha Mikro, Kecil, dan Menengah (UMKM) pun kini banyak yang telah beralih memanfaatkan teknologi untuk memaksimalkan perdagangannya.<U+2063><U+2063><U+2063><U+2063>Ingin tahu lebih lanjut bagaimana perdagangan berevolusi? Yuk, simak selengkapnya pada infografis di atas!<U+2063><U+2063><U+2063><U+2063>#civictech #ecommerce <U+2063>","ecommerce, civictech",2,FALSE,NA,96,0,0
"161","ig161","GraphImage",2020-07-22 13:37:47,"Sobat JDS, terima kasih telah ikut serta membantu terselenggaranya proses verifikasi data calon penerima Bansos Provinsi Tahap III dengan lebih baik. Berkat kalian dan RW se-Jabar yang menggunakan Sapawarga, Bansos Provinsi bisa terselenggara secara efektif dan penyalurannya tepat sasaran.#JaringPengamanSosial #KitaPastiMenang #JabarLawanCOVID19 #Sapawarga","JabarLawanCOVID19, KitaPastiMenang, Sapawarga, JaringPengamanSosial",4,FALSE,NA,95,49,13
"162","ig162","GraphVideo",2020-07-20 19:57:51,"Pembatasan Sosial Berskala Besar (PSBB) Proporsional di wilayah Bodebek resmi diperpanjang sampai 1 Agustus 2020 mendatang. Perpanjangan PSBB Proprosional ini bertujuan untuk membuka sektor-sektor ekonomi secara bertahap sebelum menerapkan Adaptasi Kebiasaan Baru (AKB).<U+2063><U+2063><U+2063><U+2063>Walikota Bogor @bimaaryasugiarto  memantau langsung situasi stasiun, terminal, dan pusat keramaian di Kota Bogor untuk memastikan penerapan protokol kesehatan ber<U+2063>jalan dengan lancar.<U+2063><U+2063><U+2063>Simak video ini untuk melihat bagaimana penerapan PSBB Proporsional di Kota Bogor berjalan.<U+2063>@diskominfojabar @jabarprovgoid @humas_jabar @pemkotbogor <U+2063><U+2063>#PSBB #Proporsional #JabarTanggapCovid19","PSBB, Proporsional, JabarTanggapCovid19",3,TRUE,734,44,0,0
"163","ig163","GraphSidecar",2020-07-20 12:00:49,"Sampurasun, wargi Jabar!Penyaluran #BansosProvinsi tahap II sudah dimulai! Ketahui apa saja yang berhak diterima oleh penerima manfaat lewat infografis ini yuk!Saat ini, verval data calon penerima bansos tahap III sedang berlangsung. Sudahkah RW-mu pakai #Sapawarga? Hubungi pemerintah desa/kelurahan agar RW-mu dapat akun dan hubungi Tim Sapawarga di nomor +62 812-2008-2668 (hanya Whatsapp) atau klik s.id/HotlineSW untuk mengajukan pertanyaan, ya!","BansosProvinsi, Sapawarga",2,FALSE,NA,56,4,3
"164","ig164","GraphImage",2020-07-18 20:00:49,"Kamu dapat ikut berperan dalam penyelenggaraan bansos. <U+2063><U+2063><U+2063><U+2063>Segera lapor jika kamu melihat masalah soal penerimaan bantuan sosial untuk membantu masyarakat yang ekonominya terdampak pandemi COVID-19 lewat solidaritas.jabarprov.go.id<U+2063><U+2063><U+2063>Mari bantu pemerintah dalam menyelenggarakan bantuan sosial yang lebih efektif!<U+2063><U+2063><U+2063><U+2063><U+2063>#JaringPengamanSosial #KitaPastiMenang #JabarLawanCOVID19 #Pikobar<U+2063><U+2063>","JabarLawanCOVID19, KitaPastiMenang, JaringPengamanSosial, Pikobar",4,FALSE,NA,99,30,6
"165","ig165","GraphVideo",2020-07-18 18:04:21,"Hai, Sobat JDS!<U+2063><U+2063><U+2063><U+2063>TechUpdate kembali digelar lewat Zoom dan live streaming Youtube pada Jumat (18/07). Dalam webinar dengan tema “Keamanan Data & Privasi dalam Inovasi Pelacakan Kontak”, Tri Febrianto sebagai IT Security Consultant dari NgeSEC.id dan Jatmiko Herjati sebagai Chief Technology Officer di @geocreate.id sharing pada TechUpdate vol. 21 ini.<U+2063><U+2063><U+2063><U+2063>Febri menerangkan secara fundamental mengenai cybersecurity<U+2063>. Katanya, security (sistem keamanan) adalah proses bukan sebuah produk. Teknologi akan tangguh, jika SDM-nya memiliki skill  yang mumpuni. Terlebih lagi, praktik security dalam teknologi harus dibarengi dengan regulasi dan prioritas keamanan data privasi pada implementasi pelacakan kontak.<U+2063><U+2063><U+2063>Sementara itu, Miko menjabarkan 2 sistem keamanan yang digunakan dalam sistem pelacakan kontak, yaitu OWASP (Open Web Application Security Project) dan AWS (Amazon Web Service). Ia menambahkan tentang integrasi Map Corona yang sedang dikembangkan bersama @jabardigitalservice untuk aplikasi Pikobar sebagai bagian dari sistem pelacakan kontak di Jawa Barat.<U+2063><U+2063><U+2063>Keutamaan dalam keamanan data pribadi menjadi keutamaan dalam sistem pelacakan kontak yang sedang dikembangkan Jawa Barat. Penetrasi terhadap masyarakat menjadi tantangan agar mau berkontribusi untuk memutus mata rantai penyebaran melalui sistem pelacakan kontak<U+2063><U+2063><U+2063><U+2063>Yuk, simak video TechUpdate vol. 21 selengkapnya di Youtube Jabar Digital Service!<U+2063><U+2063><U+2063>#jabardigitalservice #techupdate #pelcakankontak #civictech #contacttracing","contacttracing, civictech, techupdate, pelcakankontak, jabardigitalservice",5,TRUE,533,50,0,0
"166","ig166","GraphSidecar",2020-07-17 20:00:56,"Sampurasun, wargi Jabar!<U+2063><U+2063>Banyak pertanyaan dari wargi masuk ke hotline kami: “Mengapa saya tidak termasuk dalam daftar penerima Bansos Provinsi?”<U+2063><U+2063>Simak infografis ini untuk ketahui apa saja kriteria masyarakat yang layak menjadi penerima bansos provinsi.<U+2063><U+2063>#BansosProvinsi #VervalData #Sapawarga","VervalData, BansosProvinsi, Sapawarga",3,FALSE,NA,167,60,21
"167","ig167","GraphImage",2020-07-16 18:01:20,"Sampurasun, wargi Jabar!<U+2063><U+2063>Verifikasi dan validasi (verval) data calon penerima bansos kembali DIBUKA di Sapawarga! Gunakan kesempatan ini untuk ingatkan RW-mu yang belum melakukan pendataan melalui Sapawarga.<U+2063><U+2063>Ayo kawal verval data bansos tahap III agar penyaluran tepat sasaran!<U+2063><U+2063>Jika RW belum mengaktifkan Sapawarga, hubungi Tim Sapawarga di nomor +62-812-2008-2668 (hanya Whatsapp) atau s.id/HotlineSW <U+2063><U+2063>#BansosProvinsi #VervalData #Sapawarga<U+2063>","VervalData, BansosProvinsi, Sapawarga",3,FALSE,NA,138,42,19
"168","ig168","GraphImage",2020-07-15 20:08:36,"Sampurasun, Sobat JDS!<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Klaster baru COVID-19 terus bermunculan. Dari lingkungan industri, institusi pendidikan, hingga pondok pesantren. <U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Pemdaprov Jabar terus berupaya menekan pertumbuhan kasus COVID-19 dengan strategi 3T (Tracing, Testing, Treatment). Kita tetap perlu waspada dengan potensi penyebarannya. Tetap update informasimu dan terapkan protokol kesehatan dimanapun kamu berada.<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Simak infografis di atas untuk informasi selengkapnya!<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>#Jabartanggapcovid19 #Jabarjuara #TetapPakaiMasker","Jabartanggapcovid19, TetapPakaiMasker, Jabarjuara",3,FALSE,NA,177,4,3
"169","ig169","GraphVideo",2020-07-14 19:40:17,"Tak semua usaha kecil mati di tengah pandemi. Bermodal kreativitas, seorang pengrajin masker di daerah Pagarsih, Kota Bandung mampu memanfaatkan kondisi pandemi menjadi berkah. <U+2063><U+2063><U+2063><U+2063>Sandi, Kepala Tim Produksi Cilest Digital Printing menceritakan bagaimana usaha percetakan digital dan souvenir tempatnya bekerja sempat mandek di tengah pandemi. Dengan inovasi, kini Cilest Digital Printing menggeluti usaha masker karakter berbahan scuba. Tak hanya beralih jenis usaha, Sandi mengatakan bahwa timnya turut memaksimalkan penjualan secara daring. Hanya dengan rentan waktu tiga minggu, usahanya mampu meraup omzet hingga Rp 1 Miliar.<U+2063><U+2063><U+2063><U+2063>Yuk, simak lebih jauh bagaimana UMKM ini beradaptasi di tengah pandemi pada video di atas!<U+2063><U+2063>@diskominfojabar @jabarprovgoid @humas_jabar @diskukjabar <U+2063><U+2063>#umkm #bisnis #masker #jabarjuara #maskerkarakter","maskerkarakter, umkm, jabarjuara, masker, bisnis",5,TRUE,1210,78,2,2
"170","ig170","GraphImage",2020-07-14 19:11:08,"Halo Sobat JDS!Kasus Covid-19 di Jawa Barat dalam pekan terakhir ini menunjukkan kenaikan drastis karena munculnya klaster baru. Jabar terus mengupayakan penanganan kasus dengan cepat, salah satunya dengan melakukan contact tracing (pelacakan kontak). Pelacakan kontak, memutus rantai penularan dari manusia ke manusia dengan mengidentifikasi orang-orang yang terpapar pada kasus yang dikonfirmasi, mengkarantina, menindaklanjuti dengan isolasi yang cepat, dan melakukan pengujian serta perawatan jika mereka memiliki gejala.Beberapa negara yang melakukan pelacakan kontak dengan bantuan teknologi menemukan tantangan pertanyaan soal keamanan data dan privasi masyarakat. Bersama Jatmiko Herjati sebagai CTO @geocreate.id dan Tri Febrianto sebagai IT Security Consultant, kita akan mengetahui bagaimana “Keamanan Data & Privasi dalam Inovasi Pelacakan Kontak” di TechUpdate Vol.21.Segera daftarkan dirimu karena kuota terbatas, melalui tautan berikut : bit.ly/TUV21TIKET (cek profil kami). Sampai bertemu Jumat ini!#jabardigitalservice #techupdate #civictech #data #webinargratis #webinar #webinartech #webinargeospasial #webinarcybersecurity","webinargratis, webinargeospasial, civictech, techupdate, webinar, webinarcybersecurity, jabardigitalservice, webinartech, data",9,FALSE,NA,182,2,2
"171","ig171","GraphImage",2020-07-13 20:27:52,"Sampurasun, Sobat JDS!<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Melonjaknya kasus COVID-19 dalam beberapa waktu terakhir akibat munculnya berbagai kluster baru, serta dinyatakannya COVID-19 bisa menyebar melalui udara (airborne) oleh WHO, menjadi tantangan baru dalam penanganan pandemi di tanah air. <U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Tenaga kesehatan dan pemerintah, tidak bisa menghadapi situasi ini sendiri. Seluruh elemen masyarakat perlu bergotong-royong untuk dapat mengatasi pandemi. Tetap disiplinkan diri dengan terapkan protokol kesehatan ketat dimanapun kamu berada. <U+2063><U+2063>Hanya dengan kerjasama dan kesabaran, kita pasti menang!<U+2063><U+2063><U+2063><U+2063><U+2063>YNWA<U+2063><U+2063><U+2063><U+2063><U+2063>#jabartanggapcovid19 #jabarjuara #ynwa","jabarjuara, ynwa, jabartanggapcovid19",3,FALSE,NA,114,6,5
"172","ig172","GraphSidecar",2020-07-12 20:02:42,"Halo, Sobat JDS! Cuma mau ingetin buat #TetapPakaiMasker ya selama AKB. Karena kita masih di tengah ketidakpastian kapan pandemi ini berakhir, jadi kita mulai dari diri sendiri untuk tidak lupa pakai masker dalam setiap kegiatanmu. Sekarang berbagai macam masker diproduksi oleh banyak pengusaha yang bisa Sobat JDS pakai sesuai selera. Tapi harus sesuai dengan protokol kesehatan, ya! Seperti yang kami sarankan di postingan ini.<U+2063><U+2063>#AKB30 #TetapPakaiMasker #JabarLawanCovid19","TetapPakaiMasker, JabarLawanCovid19, AKB30",3,FALSE,NA,129,2,2
"173","ig173","GraphVideo",2020-07-11 19:55:45,"Saat normal baru dimulai, aktivitas tidak sepenuhnya kembali seperti biasa. Orang-orang tetap membutuhkan media yang bisa fasilitasi kegiatan dengan meskipun selalu jaga jarak. <U+2063><U+2063>Banyak Usaha Mikro, Kecil, dan Menengah (UMKM) di bidang kuliner yang bergeser ke dunia maya sejak pandemi. Dengan memanfaatkan platform online, UMKM punya tantangan besar untuk tetap bertahan dengan inovasi dan cara penyajian. Lalu bagaimana para pelaku usaha beradaptasi?<U+2063> Selengkapnya hanya di Youtube kami: bit.ly/digixumkm<U+2063><U+2063>#DigiExplain #UMKMDigital #AdaptasiKebiasaanBaru","DigiExplain, UMKMDigital, AdaptasiKebiasaanBaru",3,TRUE,500,38,1,1
"174","ig174","GraphVideo",2020-07-10 12:38:31,"Sobat JDS, siapa yang kemarin ikut acara GovInsider Live Indonesia?GovInsider Live Indonesia merupakan kolaborasi antara @jabardigitalservice dengan @govinsider. Acara ini menyoroti inovasi digitalisasi di sektor publik yang dilakukan institusi pemerintahan dan swasta.Terdiri dari 7 webinar yang diselenggarakan dalam satu hari, acara ini mengundang kepala daerah, petinggi institusi publik, dan pelaku industri teknologi informasi untuk  membahas isu-isu teknologi dan perkembangannya saat pandemi seperti Government Digital Services, Future of Transportation and Infrastructure, Future of Work, Future of Learning, Cashless Society, City Transformation dan Secret of Cybersecurity.Selain itu, publik juga bisa menikmati 360 virtual tour Jabar Command Center yang kini menjadi Pusat Informasi dan Koordinasi Covid-19 Jawa Barat (Pikobar).#GovInsiderLiveIndonesia #Webinar #VirtualTourJCC #jabardigitalprovince","jabardigitalprovince, Webinar, VirtualTourJCC, GovInsiderLiveIndonesia",4,TRUE,562,43,1,1
"175","ig175","GraphSidecar",2020-07-09 20:14:20,"Sampurasun, Sobat JDS!<U+2063><U+2063><U+2063><U+2063>Usaha Mikro, Kecil, dan Menengah (UMKM) digadang sebagai penopang ekonomi yang memiliki karakteristik tersendiri bagi Indonesia. Setidaknya, 98.7% sektor usaha di Indonesia dikelompokkan sebagai UMKM. UMKM turut menjadi “Penyelamat Ekonomi“ pada krisis 1998 dan krisis ekonomi global pada 2008 di Indonesia. Hal ini terjadi lantaran UMKM tidak bergantung pada nilai tukar dan sektor keuangan dunia. Tapi saat ini berbeda, pandemi ternyata bisa melumpuhkan UMKM, terutama pada industri kreatif, makanan, dan minuman.<U+2063><U+2063><U+2063><U+2063>Selama masa Adaptasi Kebiasaan Baru (AKB), Gubernur @ridwankamil kembali mendorong pertumbuhan ekonomi terdampak pandemi global COVID-19, termasuk untuk sektor UMKM di Jabar. Sekitar 37 ribu Usaha Kecil dan Menengah (UKM) terkena imbasnya karena daya beli masyarakat yang menurun, bahan baku yang sulit didapat, hingga aktivitas ekspor dan impor yang terbatas. Kini, teknologi dan digitalisasi menjadi salah satu upaya dalam menyiasati peluang usaha di masa pandemi.<U+2063><U+2063><U+2063><U+2063>Simak bagaimana upaya Pemdaprov Jawa Barat menguatkan UMKM di tengah pandemi pada infografis di atas!<U+2063><U+2063><U+2063><U+2063>#umkm #umkmdigital #civictech #akb30 #jabartanggapcovid<U+2063><U+2063>","umkm, akb30, civictech, umkmdigital, jabartanggapcovid",5,FALSE,NA,193,6,4
"176","ig176","GraphVideo",2020-07-08 19:35:10,"Sobat JDS, Usaha Mikro, Kecil, dan Menengah (UMKM) banyak terdampak saat pandemi. Tidak sedikit yang harus tutup karena rugi. Ada juga yang bertahan dengan keuntungan yang sedikit, dan ada yang bangkit dengan inovasi menyiasati keterbatasan di tengah pandemi. Pemanfaatan teknologi digital jadi salah satu alternatif mengembangkan usaha di tengah pandemi. Mulai dari masa PSBB yang diberlakukan beberapa waktu lalu, banyak UMKM memanfaatkan berbagai platform online untuk tetap bisa menjajakan dagangannya, terutama di bidang kuliner.Banyak UMKM kuliner yang terdorong untuk mengubah sistem penjualan mereka dari mulai menu hingga cara memesan. Lalu apakah masa depan UMKM akan cerah dengan adanya digitalisasi, terutama di masa pandemi? Langsung aja dengerin @neamaryn dan @haritsfathoni ngobrolin “Usaha pindah ke dunia maya saat virus merajalela” di Episode ke-3 #DIGITALKS Season 02 di sini: bit.ly/digitalks2e3#DIGITALKS #UMKMDigital #AdaptasiKebiasaanBaru","UMKMDigital, DIGITALKS, AdaptasiKebiasaanBaru",3,TRUE,299,28,0,0
"177","ig177","GraphVideo",2020-07-07 19:37:21,"Aplikasi @pikobar_jabar kini dikembangkan sebagai aplikasi yang ramah digunakan bagi penyandang difabel. <U+2063><U+2063>Rian, salah satu sahabat difabel netra mengaku tidak banyak mengetahui update informasi yang diterimanya dari media-media konvensional. Dengan menggunakan PIKOBAR, kini Rian bisa mengetahui sebaran kasus di daerah tempat tinggalnya, bantuan sosial, dan data-data lainnya. Bersama Gita, salah satu founder dan pegiat komunitas @tunemap.id memberikan insight perlunya PIKOBAR dikembangkan sebagai aplikasi yang ramah difabel, sehingga informasi dan koordinasi terkait COVID-19 di Jawa Barat yang ditampilkan dari berbagai fitur PIKOBAR dapat terbaca oleh sahabat dengan keterbatasan penglihatan (visually impaired).<U+2063><U+2063>Simak bagaimana PIKOBAR mampu memberikan <U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>informasi terkini bagi teman-teman difabel pada video di atas!<U+2063>@diskominfojabar @jabarprovgoid @humas_jabar @ridwankamil <U+2063>#pikobar #ramahdifabel #sahabatnetra","sahabatnetra, pikobar, ramahdifabel",3,TRUE,1199,62,2,2
"178","ig178","GraphImage",2020-07-07 15:00:38,"Pusat kendali Jawa Barat, Jabar Command Center kini bisa dikunjungi publik secara daring!<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Tak hanya sebagai Pusat Informasi dan Koordinasi COVID-19 di Jawa Barat (PIKOBAR), Jabar Command Center turut menjadi pusat kendali bagi Gubernur Ridwan Kamil untuk melakukan conference call bersama kepala-kepala daerah di Jawa Barat. Jabar Command Center 360° Virtual Tour dibuka selama berlangsungnya event GovInsider Live Indonesia, hingga 29 Juli 2020. <U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Yuk, jelajahi Jabar Command Center sekarang! <U+2063><U+2063><U+2063>https://www.indonesia.govinsider.live/tour<U+2063><U+2063><U+2063><U+2063>#jabarcommandcenter #pikobar #virtualtour<U+2063>","pikobar, jabarcommandcenter, virtualtour",3,FALSE,NA,97,8,5
"179","ig179","GraphVideo",2020-07-06 20:05:49,"Sobat JDS, beberapa tempat wisata di Jawa Barat mulai menerapkan #AKB30. Salah satunya ada wisata pantai di Desa Cikakak di Kabupaten Sukabumi. Bagaimana ya RW dan Pemerintah Desa memulai kembali dan mengantisipasi Covid-19 di tempat wisata? Seorang Ketua RW yang membagikan langkah antisipasi mereka di fitur “Kegiatan RW“ aplikasi #Sapawarga menyambungkan kami ke Kepala Desa Cikakak, Dede Mulyadi. Simak obrolan 60 detik kami dengan Pak Dede soal AKB di wisata pantai Desa Cikakak yuk!","Sapawarga, AKB30",2,TRUE,298,35,2,2
"180","ig180","GraphVideo",2020-07-05 20:11:04,"Sobat JDS, beberapa lokasi wisata mulai dipersiapkan untuk dibuka kembali di normal baru. Langkah ini diambil untuk meningkatkan kembali ekonomi lokal. Berwisata di normal baru harus tetap dengan protokol dasar kesehatan. <U+2063>Kita telah ketahui bahwa tempat wisata berpotensi mengundang keramaian jika dibuka kembali, maka Sobat JDS harus tetap perhatikan jarak dan protokol yang berlaku karena Covid-19 masih ada di sekitar kita. <U+2063><U+2063>Pastikan supaya wisata dalam keadaan riang dan terus waspada agar virus tidak ikut pulang!","",0,TRUE,466,58,1,1
"181","ig181","GraphSidecar",2020-07-05 18:39:35,"Sampurasun, Sobat JDS!<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Telah Hadir, Aplikasi PIKOBAR 2.0.<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Berbagai pengembangan terus dilakukan guna menghadirkan informasi dan layanan terkini lewat aplikasi Pusat Informasi dan Koordinasi COVID-19 Jabar (PIKOBAR). PIKOBAR Versi 2.0 hadir dengan tampilan UI terbaru. <U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Aplikasi informasi COVID-19 yang bisa dinikmati dalam genggaman ini, kini menyediakan fitur Bantuan Sosial, Pendaftaran Tes Masif dan Log Location. Tak hanya itu, PIKOBAR turut dikembangkan sebagai aplikasi yang ramah digunakan bagi penyandang disabilitas netra, dengan mengaktifkan Talk Back pada gadget pengguna android, sehingga berbagai fitur dan informasi dapat terbaca oleh sahabat dengan keterbatasan penglihatan (visually impaired).<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Segera unduh PIKOBAR sekarang!<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>#PIKOBAR #jabartanggapcovid19 #application <U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>","PIKOBAR, application, jabartanggapcovid19",3,FALSE,NA,147,13,5
"182","ig182","GraphVideo",2020-07-04 20:42:50,"Hai, Sobat JDS!<U+2063><U+2063>TechUpdate kembali digelar lewat Zoom dan live Streaming Youtube. Dalam webinar bertajuk “UMKM Digital: Teknologi sebagai Solusi Kesulitan Ekonomi Pandemi”, Emmiryzan selaku Public Policy and Government Relations Lead dari @tokopedia dan Mario Lasut, CMO @finansialku_com menjadi pembicara pada TechUpdate Vol.20 ini.<U+2063><U+2063>Emmiryzan mengatakan, selama pandemi, transaksi jual beli meningkat drastis. Pembayaran pajak, pulsa, logistik, bahkan pasar tradisional mulai menggunakan platform e-commerce. Menurutnya, total jarak transaksi yang terjalin selama pandemi melalui Tokopedia setara dengan 63 kali jarak mengelilingi bumi. <U+2063><U+2063>Sementara itu, Mario mengatakan, perlu ada triplehelix collaboration, antara UMKM, pemerintah, dan pihak swasta untuk memajukan industri UMKM digital, sehingga tak hanya berpindah platform, legalitas dan sustainability sebuah usaha bisa terus tumbuh dan terjaga.<U+2063><U+2063>Teknologi dan digital kini telah terbukti menjadi medium baru untuk menyiasati peluang usaha di era Adaptasi Kebiasaan Baru. <U+2063><U+2063>Yuk, simak video TechUpdate Vol.20 selengkapnya pada link berikut: <U+2063>https://bit.ly/TUVol20<U+2063><U+2063>#jabardigitalservice #techupdate #umkm #civictech #umkmdigital","umkm, civictech, umkmdigital, techupdate, jabardigitalservice",5,TRUE,382,40,0,0
"183","ig183","GraphSidecar",2020-07-03 20:00:43,"Sampurasun, Sobat JDS!<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>GovInsider bekerja sama dengan Pemerintah Daerah Provinsi Jawa Barat menyelenggarakan GovInsider Live Indonesia. Inovator dari berbagai belahan dunia hadir untuk mendiskusikan pelayanan publik pada digital summit GovInsider yang digelar selama dua hari penuh!<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Gubernur Jawa Barat, @ridwankamil, akan menjadi pembicara pembuka dalam perhelatan ini. Sebagai penerima penghargaan Inspirational Leader pada GovInsider Innovation Awards di Kantor Regional PBB-Bangkok tahun lalu, Kang Emil diundang sebagai pembicara utama untuk membahas berbagai inovasi dan tren digital yang dilakukan saat ini di Jawa Barat.<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Ketahui agenda dan sesi untuk setiap tema dari para pembicara dan panelis yang akan hadir di perhelatan ini pada info di atas!<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Jelajahi pula Jabar Command Centre @jabardigitalservice melalui 360° Virtual Tour selama berlangsungnya perhelatan ini.<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063>Dapatkan kesempatan mengikuti sesi webinar GovInsider Live Indonesia! Kuota terbatas, klik tautan berikut untuk daftar:<U+2063><U+2063><U+2063> https://www.indonesia.govinsider.live<U+2063><U+2063><U+2063><U+2063><U+2063>#govinsider #innovations #event #digitalsummit<U+2063><U+2063><U+2063>","event, digitalsummit, govinsider, innovations",4,FALSE,NA,196,5,3
"184","ig184","GraphVideo",2020-07-03 18:08:51,"Sobat JDS, beberapa waktu lalu banyak berita mengenai penolakan kepada tenaga medis yang tengah menyelenggarakan tes masif di pasar. Perlu diingat bahwa langkah ini perlu peran dari masyarakat untuk kooperatif demi dibukanya kembali ekonomi di tengah pandemi. ‘Nggak mau kan kita kembali lagi untuk melakukan PSBB skala provinsi? Memang saat ini mulai transisi memasuki AKB, tapi virus belum luput dari sekitar kita. Ayo bersatu melawan wabah ini dan tetap waspada!<U+2063> Tes masif dilakukan demi tetap terkendalinya penularan virus yang belum ada vaksinnya. <U+2063>#TesMasif #JabarLawanCovid19 #KitaPastiMenang","JabarLawanCovid19, KitaPastiMenang, TesMasif",3,TRUE,1618,104,6,4
"185","ig185","GraphVideo",2020-07-02 20:50:50,"Kebijakan-kebijakan yang diambil Jabar dari kasus pertama Covid-19 muncul memberikan hasil yang signifikan sampai hari ini. Jabar sudah turun dari peringkat 2 ke peringkat 4 kasus terkonfirmasi terbanyak se-Indonesia. Wargi diharapkan tetap mengikuti protokol kesehatan dan aturan yang telah ditetapkan. Wabah ini akan tetap terkendali bukan hanya karena langkah yang diambil pemerintah, tetapi juga peran serta masyarakat dalam mendisiplinkan kebiasaan sehat.@ridwankamil @humas_jabar @diskominfojabar @jabarprovgoid @dinkesjabar#KitaPastiMenang #JabarLawanCovid19 #KebijakanCovid19","KebijakanCovid19, KitaPastiMenang, JabarLawanCovid19",3,TRUE,1898,91,3,2
